line_no,count,description,rule_name
71,4,M2_100: Non-rectangular Big ETE space regions are   not allowed. 0.0,M2_100
72,2,M2_203: Min separation in OGD between [Big ETEs]   and [Small or Merged or Long ETEs]. Applies also   to End of design. 0.15 um,M2_203
73,1,"M2_30: Priority1 - All Metal2 tracks need to be fully  populated [lines drawn in alternating B-C-B-C-B   sequence], except for end-to-end spaces at   M2_41/411/412/413/42. 0.0",M2_30
74,1,M2_57: Min metal length that is allowed to be   surrounded by ETEs on all four sides 0.115 um,M2_57
75,4,M3_100: Non-rectangular BIG ETE space regions are   not allowed. 0.0,M3_100
76,10,M3_203: Min separation in PGD between [Big ETEs]   and [Small or Merged or Long ETEs]. Applies also   to End of design. 0.15 um,M3_203
77,18,M3_205: Min separation in OGD between [Big ETEs]   and [Small or Merged or Long ETEs] (exception:   M3HA_206 for Big ETEs to [Small or Merged ETEs]   within halo ID regions) 0.155 um,M3_205
78,9,"M3_30: Priority1 - All Metal3 tracks need to be fully  populated [lines drawn in alternating B-C-B-C-B   sequence], except for end-to-end spaces at   M3_41/411/412/413/42. 0.0",M3_30
79,2,M3_419: Max width of a Metal3 line that is allowed   to have Merged ETEs or Long ETEs 0.06,M3_419
80,6,"M3_44: Big ETE space region, minimum width in OGD   0.115 um",M3_44
81,3,M3_ER1: Priority1 - Global min space between METAL3   0.02 um,M3_ER1
82,1,M4HA_206: Min separation in PGD between Big ETE and   [Variable or Big ETE] when separation crosses   depopulated metal tracks within 240nm PGD distance   from HaloID outer OGD edge (both aligned and   non-aligned). 0.11 um,M4HA_206
83,2,M4_100: Non-rectangular ETE space regions are not   allowed. 0.0,M4_100
84,8,"M4_30: Priority1 - All Metal4 tracks need to be fully  populated [lines drawn in alternating B-C-B-C-B   sequence], except for end-to-end spaces at M4_41/42.   0.0",M4_30
85,5,M4_ER1: Priority1 - Global min space between METAL4   0.02 um,M4_ER1
86,1,M5HA_206: Min separation in OGD between Big ETE and   [Variable or Big ETE] when separation crosses   depopulated metal tracks within 200nm OGD distance   from HaloID outer PGD edge (both aligned and   non-aligned). 0.08799999999999999 um,M5HA_206
87,27,M5_100: Priority2 - Non-rectangular ETE space regions  are not allowed. 0.0,M5_100
88,74,M5_201: Min separation in OGD between M5 Variable   ETEs 0.116 um,M5_201
89,14,M5_203: Min separation in PGD between Variable and   Big ETE plugs (applies also to End of design) 0.13 um,M5_203
90,23,M5_205: Min separation in OGD between Variable and   Big ETE plugs (exception: M5HA_206 for Variable and   Big ETEs within HaloID regions) 0.148 um,M5_205
